timeout_sec,http2MaxRequests,http1MaxPendingRequests,retry_attempts,consecutive5xxErrors,reward,latency_p99_ms,latency_spread,error_rate_5xx,envoy_cpu_cores,rps_user,success_rate
1.0,100,50,0,10,0.7610479119065057,3100.515463917537,2945.6333090353824,6.841817186644773e-05,1.7099415759724577,584.64,0.4482074438970991
1.0,309,254,0,1,0.7720566293368412,2368.0942720273065,2268.1873527403773,7.239647587009474e-05,1.668859451527942,552.513081876725,0.4519655492620083
1.0,311,50,0,6,0.7747600610148784,2258.8989542741915,2175.9570750973344,0.00015788134690420208,1.6537752148747802,506.71977173177567,0.4519260929111118
2.2,100,50,2,5,0.7845716522383843,1869.5544673491258,1822.4188219270804,0.00018167078572838287,1.5999976642122613,440.3657954318173,0.452175522647237
1.99,100,338,0,1,0.8213353783111176,893.1208024371422,876.4239775588071,0.00010910776739156209,1.3701139319764115,366.59534898604056,0.45422801720051653
2.55,428,50,3,4,0.8311284395046952,614.5634003651953,607.8256271905292,0.0,1.3102261830439148,318.827100044036,0.44988079482840065
1.0,407,263,0,9,0.865111262629916,696.5447207483783,689.2891689914486,0.0,1.032915435969344,326.9640689627585,0.44861757360194254
3.0,109,187,0,1,0.7979362134970578,888.5901308563789,872.1556269218394,0.0002004554958249851,1.5574178557726137,399.0751153953842,0.4511376298408378
1.0,193,500,0,1,0.801233995322554,1620.2573627034217,1572.4706221172955,0.0,1.483703771258877,475.53862842043884,0.4486877435296994
3.0,100,50,0,2,0.8063507834213308,2259.810720105492,2173.9072141580014,0.00014993722242841333,1.4011032603757128,533.5673074922997,0.44718496051120354
1.0,184,50,0,10,0.7909089698452737,2380.2630801083224,2281.733677218419,0.0,1.5173283493269192,566.3522019119235,0.45031429290709896
1.0,180,50,0,1,0.8163069846904395,2467.23870056497,2306.8365158579195,0.0,1.310408281929054,581.08,0.44792455427824046
1.0,500,50,0,1,0.829917665070151,3818.829113924053,3643.259081350763,0.00013557483731019523,1.1116512565883445,590.08,0.4520065075921909
1.0,100,50,0,1,0.825046384242466,3954.7102354994418,3768.580734572279,6.63015168089727e-05,1.1420532906909293,603.3285811432457,0.449181234612744
1.29,442,283,0,1,0.8337676600904915,3634.272727272735,3425.0307059961397,0.0,1.0945486048337723,594.8,0.4517821116341628
1.74,100,500,0,5,0.7797683802703023,2995.3039498161634,2830.733193420215,0.0,1.5676517197297024,571.032521899124,0.45068643740215203
1.45,164,265,3,1,0.839655339308677,2406.2445040744797,2306.311494508447,0.0,1.12567208557782,548.1995493891833,0.45158702180858884
1.0,500,475,0,1,0.8255191844960634,2264.48811030578,2178.337931144009,0.0,1.2477523226498335,501.2602605414082,0.45024345389545556
1.16,149,395,1,2,0.8789026714189695,1977.3834605561833,1933.794064076548,0.0,0.8384060444938194,433.40073006400115,0.44974618519831344
1.46,500,51,0,4,0.8554605974102671,909.4101876675606,894.8677919744247,0.00011122233344455567,1.0959501767295745,359.64,0.45300856411967527
